deviceId,data,time,locationStatus,latitude,longitude,mobileStatus,netType,RSRP,RSRQ,SNR,RSSI,downlink,uplink,roaming,downstreamBandwidth,upstreamBandwidth,earfcn,band,frequency,ci,pci,tag,networkOperator,chipOperator,mcc,mnc,bluetoothStatus
3d4c6129617d84c4,02/03/2023,18.02.38,1,-3.122.741,-58.433.811,1,4G,-93,-15,10.0,-53,74,15,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.17.11,1,-3.127.089,-58.431.696,1,4G,-92,-14,0.0,-57,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.17.11,1,-3.127.093,-58.431.696,1,4G,-92,-14,0.0,-57,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.17.59,1,-3.127.093,-58.431.696,1,4G,-90,-13,-5.0,-65,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.22.29,1,-3.127.093,-58.431.696,1,4G,-86,-13,7.0,-53,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.27.31,1,-3.127.093,-58.431.696,1,4G,-90,-13,3.0,-57,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.29.29,1,-3.127.093,-58.431.696,1,4G,-91,-13,-2.0,-61,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.34.31,1,-3.127.093,-58.431.696,1,4G,-95,-15,11.0,-61,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.35.03,1,-3.127.093,-58.431.696,1,4G,-95,-14,8.0,-63,0,0,-1,30000,15000,9510,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,16.36.13,1,-3.127.093,-58.431.696,1,4G,-96,-15,8.0,-63,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
